user_id,citing
3001,10.1098/rsif.2020.0135
3002,10.1029/2019ef001361
3003,10.1061/(asce)cp.1943-5487.0000912
3004,10.1145/3344429.3372504
3005,10.1007/s12043-012-0359-5
3006,10.1145/3351095.3372833
3007,10.1051/e3sconf/20185303016
3008,10.1038/s41598-021-93925-y
3009,10.1101/263798
3010,10.1038/s41598-021-94724-1
3011,10.4304/jnw.9.5.1333-1338
3012,10.4304/jnw.9.9.2289-2298
3013,10.4304/jnw.9.9.2360-2364
3014,10.3390/jcm10102182
3015,10.4304/jsw.9.9.2409-2416
3016,10.1155/2020/5402620
3017,10.3138/jelis.59.1-2.04
3018,10.1186/s12894-021-00856-x
3019,10.1007/978-3-030-59302-5_12
3020,10.1007/s10548-017-0597-4
3021,10.1007/s10548-017-0614-7
3022,10.1007/s12061-019-09307-5
3023,10.1007/978-3-319-52277-7_14
3024,10.1038/s42003-021-02268-x
3025,10.1038/s42005-021-00634-z
3026,10.1007/s00500-015-1706-5
3027,10.1038/s42005-021-00582-8
3028,10.1016/j.compind.2021.103511
3029,10.1093/ntr/ntx206
3030,10.1007/s00500-018-3283-x
3031,10.1007/s00500-018-3585-z
3032,10.1038/s42255-020-0171-3
3033,10.1108/ijchm-04-2019-0378
3034,10.1007/s10618-020-00699-4
3035,10.1093/socpro/spaa074
3036,10.1016/j.osnem.2021.100155
3037,10.1016/j.osnem.2021.100134
3038,10.1016/j.osnem.2021.100124
3039,10.1016/j.osnem.2021.100154
3040,10.1146/annurev-psych-122414-033634
3041,10.1002/per.2265
3042,10.1080/01488376.2020.1792028
3043,10.1016/j.ribaf.2021.101421
3044,10.1007/s11356-017-1035-6
3045,10.1007/978-3-030-51825-7_2
3046,10.3141/2609-01
3047,10.1007/978-3-030-52485-2_9
3048,10.1007/978-3-030-52705-1_11
3049,10.1007/978-3-030-52705-1_30
3050,10.1007/978-3-030-52705-1_32
3051,10.1007/978-3-319-54241-6_7
3052,10.1007/978-3-319-54241-6_4
3053,10.1007/978-3-030-53337-3_21
3054,10.1007/978-3-030-53552-0_26
3055,10.1371/journal.pcbi.1008082
3056,10.1371/journal.pcbi.1008239
3057,10.1007/978-3-030-65722-2_3
3058,10.1080/15256480.2019.1692752
3059,10.1088/1757-899x/715/1/012024
3060,10.1088/1757-899x/722/1/012012
3061,10.1007/s10489-020-01926-7
