user_id,doi
1447,10.1007/978-3-030-93409-5_25
1448,10.1109/tkde.2017.2783933
1449,10.1140/epjs/s11734-021-00159-0
1450,10.1140/epjs/s11734-021-00167-0
1451,10.1109/w-ficloud.2016.61
1452,10.1007/978-981-19-3579-4_3
1453,10.1140/epjds/s13688-022-00330-0
1454,10.1007/s00607-022-01121-1
1455,10.1016/j.cose.2022.102661
1456,10.1109/access.2019.2897783
1457,10.1109/wi-iat.2009.15
1458,10.1109/wi-iat.2009.217
1459,10.1109/wi-iat.2010.48
1460,10.1109/wi-iat.2010.77
1461,10.1016/j.atmosenv.2022.119395
1462,10.1109/wi-iat.2011.98
1463,10.1109/wi-iat.2013.7
1464,10.1109/wi-iat.2015.19
1465,10.1109/wisa.2013.54
1466,10.1109/wisa.2014.29
1467,10.1109/wisa.2016.39
1468,10.1109/wowmom.2010.5534915
1469,10.1145/3485447.3512069
1470,10.1007/s10844-022-00740-6
1471,10.1007/978-3-031-13832-4_25
1472,10.1007/978-3-031-15512-3_2
1473,10.1101/2022.05.31.22275817
1474,10.1109/cluster48925.2021.00042
1475,10.1214/16-ejs1163
1476,10.1002/ett.4518
1477,10.1016/j.ins.2022.07.046
1478,10.1109/mlds.2017.14
1479,10.1109/icmic.2017.8321708
1480,10.1109/access.2018.2822767
1481,10.1109/dasc-picom-datacom-cyberscitec.2017.178
1482,10.1007/s13369-021-05514-w
1483,10.1016/j.amc.2021.126012
1484,10.1145/3449726.3463216
1485,10.3390/e24070894
1486,10.1007/978-3-030-95408-6_4
1487,10.1080/03081079.2022.2025794
1488,10.3390/math10030405
1489,10.1007/978-3-030-93904-5_93
1490,10.1038/s41598-021-04379-1
1491,10.1016/j.future.2021.06.056
1492,10.1007/s10489-021-02880-8
1493,10.1007/s00778-021-00723-z
1494,10.1007/s11192-021-03951-w
1495,10.1080/13658816.2021.1884869
1496,10.1016/j.physa.2022.126881
1497,10.2196/26692
1498,10.1101/2021.03.07.434249
1499,10.3934/mbe.2022196
1500,10.1101/2021.03.16.435605
1501,10.1101/2021.03.22.436521
1502,10.1007/s10489-021-02999-8
1503,10.1186/s12859-021-04543-4
1504,10.1111/tgis.12772
1505,10.1371/journal.pone.0247018
1506,10.1016/j.cor.2021.105299
1507,10.1007/s10489-021-02250-4
1508,10.1007/s10489-021-02589-8
1509,10.1016/j.socnet.2021.06.001
1510,10.1007/978-981-16-2540-4_51
1511,10.1063/1.5079119
1512,10.1101/2021.04.07.21254497
1513,10.1103/physreve.103.022316
1514,10.1038/s41467-021-22112-4
1515,10.1088/1742-6596/1971/1/012061
1516,10.1145/3442381.3450059
1517,10.1145/3460319.3464833
1518,10.3390/ijerph19159311
1519,10.1109/icc45855.2022.9838876
1520,10.1016/j.jii.2022.100415
1521,10.1016/j.ipm.2022.103059
1522,10.1109/aemcse55572.2022.00021
1523,10.1145/3564593
1524,10.4018/ijitpm.313421
1525,10.1016/j.eswa.2022.118606
1526,10.15625/1813-9663/38/1/16537
1527,10.1101/2022.10.01.510435
1528,10.1109/itoec49072.2020.9141630
1529,10.4018/ijssmet.298677
1530,10.1109/cvidliccea56201.2022.9824328
1531,10.1109/cvidliccea56201.2022.9824147
1532,10.1109/tkde.2019.2950620
1533,10.1109/icdcs.2019.00048
1534,10.1016/j.aei.2022.101680
1535,10.1109/access.2019.2951527
1536,10.1109/tkde.2019.2951407
1537,10.1007/978-3-031-07920-7_24
1538,10.3390/biotech11030033
1539,10.1093/comnet/cnab051
1540,10.1016/j.knosys.2022.109408
1541,10.1007/s41109-022-00466-y
1542,10.1038/s41598-022-16603-7
1543,10.1109/tcss.2019.2941988
1544,10.1109/ijcnn.2019.8852345
1545,10.1109/access.2018.2859788
1546,10.1109/hpcc/smartcity/dss.2019.00107
1547,10.1007/978-1-0716-1839-4_11
1548,10.1109/asiancon51346.2021.9544691
1549,10.1109/icdis.2019.00032
1550,10.1109/ccdc.2018.8408061
1551,10.1109/embc.2019.8857032
1552,10.1109/ipdpsw.2018.00184
1553,10.1145/3414274.3414512
1554,10.1109/tcss.2021.3062711
1555,10.1016/j.eswa.2022.119213
1556,10.1186/s40537-022-00585-4
1557,10.1101/2022.11.06.22282001
1558,10.1007/s10844-022-00702-y
1559,10.1109/cscwd.2018.8465149
1560,10.1109/icassp.2018.8462191
1561,10.1101/2021.11.30.470555
1562,10.1155/2022/9696952
1563,10.1007/978-3-031-07472-1_22
1564,10.1016/j.eswa.2022.117794
1565,10.1109/icee.2018.8472453
1566,10.1016/j.joi.2022.101346
1567,10.1007/978-3-031-09677-8_35
1568,10.2139/ssrn.3659107
1569,10.1109/access.2021.3123248
1570,10.1109/medcomnet49392.2020.9191555
1571,10.1109/access.2020.3022836
1572,10.1109/icra40945.2020.9197106
1573,10.1109/access.2022.3162692
1574,10.1145/3529836.3529949
1575,10.1109/cfis49607.2020.9238676
1576,10.1007/s41109-022-00500-z
1577,10.1109/access.2018.2879648
1578,10.1109/access.2018.2880157
1579,10.1109/cec.2018.8477955
1580,10.1109/datacom53700.2021.00013
1581,10.3923/itj.2012.384.387
1582,10.1109/bibm47256.2019.8982960
1583,10.1109/access.2019.2951791
1584,10.1126/science.aau2706
1585,10.1007/s10489-022-03993-4
1586,10.1109/access.2019.2937580
1587,10.1109/ipdps.2019.00013
1588,10.1109/ccoms.2019.8821680
1589,10.1109/istel.2018.8661047
1590,10.1109/access.2019.2939864
1591,10.1109/istel.2018.8661093
1592,10.1016/j.ins.2022.10.027
1593,10.1109/access.2019.2939535
1594,10.1109/tcsii.2019.2903936
1595,10.1109/iccons.2018.8663121
1596,10.1109/tkde.2019.2904682
1597,10.1109/icws53863.2021.00082
1598,10.1109/tpami.2019.2926033
1599,10.1109/access.2019.2928058
1600,10.1109/tkde.2018.2881956
